INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
frb56-25-2.txt 		 1400 		 20421 		 g 			 1
frb56-25-2.txt 		 1400 		 10899 		 g 			 1
frb56-25-2.txt 		 1400 		 18671 		 g 			 1
frb56-25-2.txt 		 1400 		 23167 		 g 			 1
frb56-25-2.txt 		 1400 		 406 		 g 			 1
frb56-25-2.txt 		 1400 		 15418 		 g 			 1
frb56-25-2.txt 		 1400 		 14207 		 g 			 1
frb56-25-2.txt 		 1400 		 4659 		 g 			 1
frb56-25-2.txt 		 1400 		 31533 		 g 			 1
frb56-25-2.txt 		 1400 		 80 		 g 			 1
frb56-25-2.txt 		 1400 		 4803 		 g 			 1
frb56-25-2.txt 		 1400 		 23380 		 g 			 1
frb56-25-2.txt 		 1400 		 2918 		 g 			 1
frb56-25-2.txt 		 1400 		 31558 		 g 			 1
frb56-25-2.txt 		 1400 		 14974 		 g 			 1
frb56-25-2.txt 		 1400 		 19496 		 g 			 1
frb56-25-2.txt 		 1400 		 25448 		 g 			 1
frb56-25-2.txt 		 1400 		 23868 		 g 			 1
frb56-25-2.txt 		 1400 		 9926 		 g 			 1
frb56-25-2.txt 		 1400 		 15463 		 g 			 1
frb56-25-2.txt 		 1400 		 10723 		 g 			 1
frb56-25-2.txt 		 1400 		 7110 		 g 			 1
frb56-25-2.txt 		 1400 		 4574 		 g 			 1
frb56-25-2.txt 		 1400 		 14780 		 g 			 1
frb56-25-2.txt 		 1400 		 26343 		 g 			 1
frb56-25-2.txt 		 1400 		 22526 		 g 			 1
frb56-25-2.txt 		 1400 		 29698 		 g 			 1
frb56-25-2.txt 		 1400 		 22122 		 g 			 1
frb56-25-2.txt 		 1400 		 30957 		 g 			 1
frb56-25-2.txt 		 1400 		 12609 		 g 			 1
frb56-25-2.txt 		 1400 		 9394 		 g 			 1
frb56-25-2.txt 		 1400 		 15110 		 g 			 1
frb56-25-2.txt 		 1400 		 15448 		 g 			 1
frb56-25-2.txt 		 1400 		 24263 		 g 			 1
frb56-25-2.txt 		 1400 		 6395 		 g 			 1
frb56-25-2.txt 		 1400 		 5345 		 g 			 1
frb56-25-2.txt 		 1400 		 31968 		 g 			 1
frb56-25-2.txt 		 1400 		 5569 		 g 			 1
frb56-25-2.txt 		 1400 		 16341 		 g 			 1
frb56-25-2.txt 		 1400 		 15301 		 g 			 1
frb56-25-2.txt 		 1400 		 1436 		 g 			 1
frb56-25-2.txt 		 1400 		 27518 		 g 			 1
frb56-25-2.txt 		 1400 		 7945 		 g 			 1
frb56-25-2.txt 		 1400 		 11740 		 g 			 1
frb56-25-2.txt 		 1400 		 32193 		 g 			 1
frb56-25-2.txt 		 1400 		 15318 		 g 			 1
frb56-25-2.txt 		 1400 		 32308 		 g 			 1
frb56-25-2.txt 		 1400 		 5936 		 g 			 1
frb56-25-2.txt 		 1400 		 22342 		 g 			 1
frb56-25-2.txt 		 1400 		 15978 		 g 			 1
frb56-25-2.txt 		 1400 		 15762 		 a 			 1
frb56-25-2.txt 		 1400 		 29101 		 a 			 1
frb56-25-2.txt 		 1400 		 28494 		 a 			 1
frb56-25-2.txt 		 1400 		 1882 		 a 			 1
frb56-25-2.txt 		 1400 		 18859 		 a 			 1
frb56-25-2.txt 		 1400 		 22229 		 a 			 1
frb56-25-2.txt 		 1400 		 1140 		 a 			 1
frb56-25-2.txt 		 1400 		 6199 		 a 			 1
frb56-25-2.txt 		 1400 		 6548 		 a 			 1
frb56-25-2.txt 		 1400 		 3514 		 a 			 1
frb56-25-2.txt 		 1400 		 28075 		 a 			 1
frb56-25-2.txt 		 1400 		 19315 		 a 			 1
frb56-25-2.txt 		 1400 		 18058 		 a 			 1
frb56-25-2.txt 		 1400 		 12364 		 a 			 1
frb56-25-2.txt 		 1400 		 11420 		 a 			 1
frb56-25-2.txt 		 1400 		 28109 		 a 			 1
frb56-25-2.txt 		 1400 		 21566 		 a 			 1
frb56-25-2.txt 		 1400 		 22312 		 a 			 1
