INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
graph250-02.txt 		 250 		 20421 		 g 			 1
graph250-02.txt 		 250 		 10899 		 g 			 1
graph250-02.txt 		 250 		 18671 		 g 			 1
graph250-02.txt 		 250 		 23167 		 g 			 1
graph250-02.txt 		 250 		 406 		 g 			 1
graph250-02.txt 		 250 		 15418 		 g 			 1
graph250-02.txt 		 250 		 14207 		 g 			 1
graph250-02.txt 		 250 		 4659 		 g 			 1
graph250-02.txt 		 250 		 31533 		 g 			 1
graph250-02.txt 		 250 		 80 		 g 			 1
graph250-02.txt 		 250 		 4803 		 g 			 1
graph250-02.txt 		 250 		 23380 		 g 			 1
graph250-02.txt 		 250 		 2918 		 g 			 1
graph250-02.txt 		 250 		 31558 		 g 			 1
graph250-02.txt 		 250 		 14974 		 g 			 1
graph250-02.txt 		 250 		 19496 		 g 			 1
graph250-02.txt 		 250 		 25448 		 g 			 1
graph250-02.txt 		 250 		 23868 		 g 			 1
graph250-02.txt 		 250 		 9926 		 g 			 1
graph250-02.txt 		 250 		 15463 		 g 			 1
graph250-02.txt 		 250 		 10723 		 g 			 1
graph250-02.txt 		 250 		 7110 		 g 			 1
graph250-02.txt 		 250 		 4574 		 g 			 1
graph250-02.txt 		 250 		 14780 		 g 			 1
graph250-02.txt 		 250 		 26343 		 g 			 1
graph250-02.txt 		 250 		 22526 		 g 			 1
graph250-02.txt 		 250 		 29698 		 g 			 1
graph250-02.txt 		 250 		 22122 		 g 			 1
graph250-02.txt 		 250 		 30957 		 g 			 1
graph250-02.txt 		 250 		 12609 		 g 			 1
graph250-02.txt 		 250 		 9394 		 g 			 1
graph250-02.txt 		 250 		 15110 		 g 			 1
graph250-02.txt 		 250 		 15448 		 g 			 1
graph250-02.txt 		 250 		 24263 		 g 			 1
graph250-02.txt 		 250 		 6395 		 g 			 1
graph250-02.txt 		 250 		 5345 		 g 			 1
graph250-02.txt 		 250 		 31968 		 g 			 1
graph250-02.txt 		 250 		 5569 		 g 			 1
graph250-02.txt 		 250 		 16341 		 g 			 1
graph250-02.txt 		 250 		 15301 		 g 			 1
graph250-02.txt 		 250 		 1436 		 g 			 1
graph250-02.txt 		 250 		 27518 		 g 			 1
graph250-02.txt 		 250 		 7945 		 g 			 1
graph250-02.txt 		 250 		 11740 		 g 			 1
graph250-02.txt 		 250 		 32193 		 g 			 1
graph250-02.txt 		 250 		 15318 		 g 			 1
graph250-02.txt 		 250 		 32308 		 g 			 1
graph250-02.txt 		 250 		 5936 		 g 			 1
graph250-02.txt 		 250 		 22342 		 g 			 1
graph250-02.txt 		 250 		 15978 		 g 			 1
graph250-02.txt 		 250 		 26047 		 a 			 1
graph250-02.txt 		 250 		 9564 		 a 			 1
graph250-02.txt 		 250 		 29195 		 a 			 1
graph250-02.txt 		 250 		 2225 		 a 			 1
graph250-02.txt 		 250 		 15564 		 a 			 1
graph250-02.txt 		 250 		 6371 		 a 			 1
graph250-02.txt 		 250 		 13695 		 a 			 1
graph250-02.txt 		 250 		 18321 		 a 			 1
graph250-02.txt 		 250 		 8719 		 a 			 1
graph250-02.txt 		 250 		 9986 		 a 			 1
graph250-02.txt 		 250 		 7808 		 a 			 1
graph250-02.txt 		 250 		 17187 		 a 			 1
graph250-02.txt 		 250 		 25993 		 a 			 1
graph250-02.txt 		 250 		 14883 		 a 			 1
graph250-02.txt 		 250 		 6932 		 a 			 1
graph250-02.txt 		 250 		 6820 		 a 			 1
graph250-02.txt 		 250 		 19994 		 a 			 1
graph250-02.txt 		 250 		 22227 		 a 			 1
graph250-02.txt 		 250 		 31305 		 a 			 1
graph250-02.txt 		 250 		 7680 		 a 			 1
graph250-02.txt 		 250 		 19746 		 a 			 1
graph250-02.txt 		 250 		 5366 		 a 			 1
graph250-02.txt 		 250 		 17494 		 a 			 1
graph250-02.txt 		 250 		 9849 		 a 			 1
graph250-02.txt 		 250 		 2081 		 a 			 1
graph250-02.txt 		 250 		 32698 		 a 			 1
graph250-02.txt 		 250 		 14078 		 a 			 1
graph250-02.txt 		 250 		 4726 		 a 			 1
graph250-02.txt 		 250 		 9326 		 a 			 1
graph250-02.txt 		 250 		 24119 		 a 			 1
graph250-02.txt 		 250 		 7305 		 a 			 1
graph250-02.txt 		 250 		 13838 		 a 			 1
graph250-02.txt 		 250 		 32115 		 a 			 1
graph250-02.txt 		 250 		 12412 		 a 			 1
graph250-02.txt 		 250 		 28373 		 a 			 1
graph250-02.txt 		 250 		 5136 		 a 			 1
graph250-02.txt 		 250 		 32190 		 a 			 1
graph250-02.txt 		 250 		 2026 		 a 			 1
graph250-02.txt 		 250 		 25301 		 a 			 1
graph250-02.txt 		 250 		 19023 		 a 			 1
graph250-02.txt 		 250 		 11474 		 a 			 1
graph250-02.txt 		 250 		 23320 		 a 			 1
graph250-02.txt 		 250 		 16031 		 a 			 1
graph250-02.txt 		 250 		 29101 		 a 			 1
graph250-02.txt 		 250 		 14330 		 a 			 1
graph250-02.txt 		 250 		 16006 		 a 			 1
graph250-02.txt 		 250 		 158 		 a 			 1
graph250-02.txt 		 250 		 11433 		 a 			 1
graph250-02.txt 		 250 		 11987 		 a 			 1
graph250-02.txt 		 250 		 16753 		 a 			 1
