INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
hamming-10-2.txt 		 1024 		 5255 		 g 			 1
hamming-10-2.txt 		 1024 		 12713 		 g 			 1
hamming-10-2.txt 		 1024 		 20441 		 g 			 1
hamming-10-2.txt 		 1024 		 23655 		 g 			 1
hamming-10-2.txt 		 1024 		 9847 		 g 			 1
hamming-10-2.txt 		 1024 		 20161 		 g 			 1
hamming-10-2.txt 		 1024 		 7219 		 g 			 1
hamming-10-2.txt 		 1024 		 1989 		 g 			 1
hamming-10-2.txt 		 1024 		 20400 		 g 			 1
hamming-10-2.txt 		 1024 		 18119 		 g 			 1
hamming-10-2.txt 		 1024 		 28369 		 g 			 1
hamming-10-2.txt 		 1024 		 31486 		 g 			 1
hamming-10-2.txt 		 1024 		 26035 		 g 			 1
hamming-10-2.txt 		 1024 		 32221 		 g 			 1
hamming-10-2.txt 		 1024 		 25537 		 g 			 1
hamming-10-2.txt 		 1024 		 6324 		 g 			 1
hamming-10-2.txt 		 1024 		 31643 		 g 			 1
hamming-10-2.txt 		 1024 		 13715 		 g 			 1
hamming-10-2.txt 		 1024 		 31184 		 g 			 1
hamming-10-2.txt 		 1024 		 24365 		 g 			 1
hamming-10-2.txt 		 1024 		 14076 		 g 			 1
hamming-10-2.txt 		 1024 		 414 		 g 			 1
hamming-10-2.txt 		 1024 		 17235 		 g 			 1
hamming-10-2.txt 		 1024 		 5193 		 g 			 1
hamming-10-2.txt 		 1024 		 22466 		 g 			 1
hamming-10-2.txt 		 1024 		 14847 		 g 			 1
hamming-10-2.txt 		 1024 		 6503 		 g 			 1
hamming-10-2.txt 		 1024 		 17757 		 g 			 1
hamming-10-2.txt 		 1024 		 3426 		 g 			 1
hamming-10-2.txt 		 1024 		 16141 		 g 			 1
hamming-10-2.txt 		 1024 		 1883 		 g 			 1
hamming-10-2.txt 		 1024 		 28935 		 g 			 1
hamming-10-2.txt 		 1024 		 5488 		 g 			 1
hamming-10-2.txt 		 1024 		 28660 		 g 			 1
hamming-10-2.txt 		 1024 		 904 		 g 			 1
hamming-10-2.txt 		 1024 		 24277 		 g 			 1
hamming-10-2.txt 		 1024 		 265 		 g 			 1
hamming-10-2.txt 		 1024 		 8344 		 g 			 1
hamming-10-2.txt 		 1024 		 23600 		 g 			 1
hamming-10-2.txt 		 1024 		 5077 		 g 			 1
hamming-10-2.txt 		 1024 		 7841 		 g 			 1
hamming-10-2.txt 		 1024 		 27761 		 g 			 1
hamming-10-2.txt 		 1024 		 29482 		 g 			 1
hamming-10-2.txt 		 1024 		 1419 		 g 			 1
hamming-10-2.txt 		 1024 		 7733 		 g 			 1
hamming-10-2.txt 		 1024 		 26405 		 g 			 1
hamming-10-2.txt 		 1024 		 24885 		 g 			 1
hamming-10-2.txt 		 1024 		 4356 		 g 			 1
hamming-10-2.txt 		 1024 		 15085 		 g 			 1
hamming-10-2.txt 		 1024 		 19125 		 g 			 1
hamming-10-2.txt 		 1024 		 20421 		 a 			 1
hamming-10-2.txt 		 1024 		 10899 		 a 			 1
hamming-10-2.txt 		 1024 		 18671 		 a 			 1
hamming-10-2.txt 		 1024 		 23167 		 a 			 1
hamming-10-2.txt 		 1024 		 406 		 a 			 1
hamming-10-2.txt 		 1024 		 15418 		 a 			 1
hamming-10-2.txt 		 1024 		 14207 		 a 			 1
hamming-10-2.txt 		 1024 		 4659 		 a 			 1
hamming-10-2.txt 		 1024 		 31533 		 a 			 1
