INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
hamming-6--2.txt 		 64 		 26047 		 g 			 1
hamming-6--2.txt 		 64 		 9564 		 g 			 1
hamming-6--2.txt 		 64 		 29195 		 g 			 1
hamming-6--2.txt 		 64 		 2225 		 g 			 1
hamming-6--2.txt 		 64 		 15564 		 g 			 1
hamming-6--2.txt 		 64 		 6371 		 g 			 1
hamming-6--2.txt 		 64 		 13695 		 g 			 1
hamming-6--2.txt 		 64 		 18321 		 g 			 1
hamming-6--2.txt 		 64 		 8719 		 g 			 1
hamming-6--2.txt 		 64 		 9986 		 g 			 1
hamming-6--2.txt 		 64 		 7808 		 g 			 1
hamming-6--2.txt 		 64 		 17187 		 g 			 1
hamming-6--2.txt 		 64 		 25993 		 g 			 1
hamming-6--2.txt 		 64 		 14883 		 g 			 1
hamming-6--2.txt 		 64 		 6932 		 g 			 1
hamming-6--2.txt 		 64 		 6820 		 g 			 1
hamming-6--2.txt 		 64 		 19994 		 g 			 1
hamming-6--2.txt 		 64 		 22227 		 g 			 1
hamming-6--2.txt 		 64 		 31305 		 g 			 1
hamming-6--2.txt 		 64 		 7680 		 g 			 1
hamming-6--2.txt 		 64 		 19746 		 g 			 1
hamming-6--2.txt 		 64 		 5366 		 g 			 1
hamming-6--2.txt 		 64 		 17494 		 g 			 1
hamming-6--2.txt 		 64 		 9849 		 g 			 1
hamming-6--2.txt 		 64 		 2081 		 g 			 1
hamming-6--2.txt 		 64 		 32698 		 g 			 1
hamming-6--2.txt 		 64 		 14078 		 g 			 1
hamming-6--2.txt 		 64 		 4726 		 g 			 1
hamming-6--2.txt 		 64 		 9326 		 g 			 1
hamming-6--2.txt 		 64 		 24119 		 g 			 1
hamming-6--2.txt 		 64 		 7305 		 g 			 1
hamming-6--2.txt 		 64 		 13838 		 g 			 1
hamming-6--2.txt 		 64 		 32115 		 g 			 1
hamming-6--2.txt 		 64 		 12412 		 g 			 1
hamming-6--2.txt 		 64 		 28373 		 g 			 1
hamming-6--2.txt 		 64 		 5136 		 g 			 1
hamming-6--2.txt 		 64 		 32190 		 g 			 1
hamming-6--2.txt 		 64 		 2026 		 g 			 1
hamming-6--2.txt 		 64 		 25301 		 g 			 1
hamming-6--2.txt 		 64 		 19023 		 g 			 1
hamming-6--2.txt 		 64 		 11474 		 g 			 1
hamming-6--2.txt 		 64 		 23320 		 g 			 1
hamming-6--2.txt 		 64 		 16031 		 g 			 1
hamming-6--2.txt 		 64 		 29101 		 g 			 1
hamming-6--2.txt 		 64 		 14330 		 g 			 1
hamming-6--2.txt 		 64 		 16006 		 g 			 1
hamming-6--2.txt 		 64 		 158 		 g 			 1
hamming-6--2.txt 		 64 		 11433 		 g 			 1
hamming-6--2.txt 		 64 		 11987 		 g 			 1
hamming-6--2.txt 		 64 		 16753 		 g 			 1
hamming-6--2.txt 		 64 		 21127 		 a 			 1
hamming-6--2.txt 		 64 		 28645 		 a 			 1
hamming-6--2.txt 		 64 		 31020 		 a 			 1
hamming-6--2.txt 		 64 		 29490 		 a 			 1
hamming-6--2.txt 		 64 		 6819 		 a 			 1
hamming-6--2.txt 		 64 		 25553 		 a 			 1
hamming-6--2.txt 		 64 		 25627 		 a 			 1
hamming-6--2.txt 		 64 		 24310 		 a 			 1
hamming-6--2.txt 		 64 		 12212 		 a 			 1
hamming-6--2.txt 		 64 		 2105 		 a 			 1
hamming-6--2.txt 		 64 		 1048 		 a 			 1
hamming-6--2.txt 		 64 		 6363 		 a 			 1
hamming-6--2.txt 		 64 		 3665 		 a 			 1
hamming-6--2.txt 		 64 		 2407 		 a 			 1
hamming-6--2.txt 		 64 		 31162 		 a 			 1
hamming-6--2.txt 		 64 		 20519 		 a 			 1
hamming-6--2.txt 		 64 		 3472 		 a 			 1
hamming-6--2.txt 		 64 		 17148 		 a 			 1
hamming-6--2.txt 		 64 		 23077 		 a 			 1
hamming-6--2.txt 		 64 		 1651 		 a 			 1
hamming-6--2.txt 		 64 		 9541 		 a 			 1
hamming-6--2.txt 		 64 		 12213 		 a 			 1
hamming-6--2.txt 		 64 		 20206 		 a 			 1
hamming-6--2.txt 		 64 		 7607 		 a 			 1
hamming-6--2.txt 		 64 		 10782 		 a 			 1
hamming-6--2.txt 		 64 		 18201 		 a 			 1
hamming-6--2.txt 		 64 		 27872 		 a 			 1
hamming-6--2.txt 		 64 		 17310 		 a 			 1
hamming-6--2.txt 		 64 		 4237 		 a 			 1
hamming-6--2.txt 		 64 		 24098 		 a 			 1
hamming-6--2.txt 		 64 		 20389 		 a 			 1
hamming-6--2.txt 		 64 		 6496 		 a 			 1
hamming-6--2.txt 		 64 		 12911 		 a 			 1
hamming-6--2.txt 		 64 		 24168 		 a 			 1
hamming-6--2.txt 		 64 		 18637 		 a 			 1
hamming-6--2.txt 		 64 		 25734 		 a 			 1
hamming-6--2.txt 		 64 		 21669 		 a 			 1
hamming-6--2.txt 		 64 		 20581 		 a 			 1
hamming-6--2.txt 		 64 		 20358 		 a 			 1
hamming-6--2.txt 		 64 		 6684 		 a 			 1
hamming-6--2.txt 		 64 		 25288 		 a 			 1
hamming-6--2.txt 		 64 		 32379 		 a 			 1
hamming-6--2.txt 		 64 		 23936 		 a 			 1
hamming-6--2.txt 		 64 		 13560 		 a 			 1
hamming-6--2.txt 		 64 		 11392 		 a 			 1
hamming-6--2.txt 		 64 		 15161 		 a 			 1
hamming-6--2.txt 		 64 		 29131 		 a 			 1
hamming-6--2.txt 		 64 		 8380 		 a 			 1
hamming-6--2.txt 		 64 		 27894 		 a 			 1
hamming-6--2.txt 		 64 		 18661 		 a 			 1
