INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
vc4.txt 		 100 		 20421 		 g 			 5
vc4.txt 		 100 		 10899 		 g 			 5
vc4.txt 		 100 		 18671 		 g 			 5
vc4.txt 		 100 		 23167 		 g 			 5
vc4.txt 		 100 		 406 		 g 			 5
vc4.txt 		 100 		 15418 		 g 			 5
vc4.txt 		 100 		 14207 		 g 			 5
vc4.txt 		 100 		 4659 		 g 			 5
vc4.txt 		 100 		 31533 		 g 			 5
vc4.txt 		 100 		 80 		 g 			 5
vc4.txt 		 100 		 4803 		 g 			 5
vc4.txt 		 100 		 23380 		 g 			 5
vc4.txt 		 100 		 2918 		 g 			 5
vc4.txt 		 100 		 31558 		 g 			 5
vc4.txt 		 100 		 14974 		 g 			 5
vc4.txt 		 100 		 19496 		 g 			 5
vc4.txt 		 100 		 25448 		 g 			 5
vc4.txt 		 100 		 23868 		 g 			 5
vc4.txt 		 100 		 9926 		 g 			 5
vc4.txt 		 100 		 15463 		 g 			 5
vc4.txt 		 100 		 10723 		 g 			 5
vc4.txt 		 100 		 7110 		 g 			 5
vc4.txt 		 100 		 4574 		 g 			 5
vc4.txt 		 100 		 14780 		 g 			 5
vc4.txt 		 100 		 26343 		 g 			 5
vc4.txt 		 100 		 22526 		 g 			 5
vc4.txt 		 100 		 29698 		 g 			 5
vc4.txt 		 100 		 22122 		 g 			 5
vc4.txt 		 100 		 30957 		 g 			 5
vc4.txt 		 100 		 12609 		 g 			 5
vc4.txt 		 100 		 9394 		 g 			 5
vc4.txt 		 100 		 15110 		 g 			 5
vc4.txt 		 100 		 15448 		 g 			 5
vc4.txt 		 100 		 24263 		 g 			 5
vc4.txt 		 100 		 6395 		 g 			 5
vc4.txt 		 100 		 5345 		 g 			 5
vc4.txt 		 100 		 31968 		 g 			 5
vc4.txt 		 100 		 5569 		 g 			 5
vc4.txt 		 100 		 16341 		 g 			 5
vc4.txt 		 100 		 15301 		 g 			 5
vc4.txt 		 100 		 1436 		 g 			 5
vc4.txt 		 100 		 27518 		 g 			 5
vc4.txt 		 100 		 7945 		 g 			 5
vc4.txt 		 100 		 11740 		 g 			 5
vc4.txt 		 100 		 32193 		 g 			 5
vc4.txt 		 100 		 15318 		 g 			 5
vc4.txt 		 100 		 32308 		 g 			 5
vc4.txt 		 100 		 5936 		 g 			 5
vc4.txt 		 100 		 22342 		 g 			 5
vc4.txt 		 100 		 15978 		 g 			 5
vc4.txt 		 100 		 26047 		 a 			 5
vc4.txt 		 100 		 9564 		 a 			 5
vc4.txt 		 100 		 29195 		 a 			 5
vc4.txt 		 100 		 2225 		 a 			 5
vc4.txt 		 100 		 15564 		 a 			 5
vc4.txt 		 100 		 6371 		 a 			 5
vc4.txt 		 100 		 13695 		 a 			 5
vc4.txt 		 100 		 18321 		 a 			 5
vc4.txt 		 100 		 8719 		 a 			 5
vc4.txt 		 100 		 9986 		 a 			 5
vc4.txt 		 100 		 7808 		 a 			 5
vc4.txt 		 100 		 17187 		 a 			 5
vc4.txt 		 100 		 25993 		 a 			 5
vc4.txt 		 100 		 14883 		 a 			 5
vc4.txt 		 100 		 6932 		 a 			 5
vc4.txt 		 100 		 6820 		 a 			 5
vc4.txt 		 100 		 19994 		 a 			 5
vc4.txt 		 100 		 22227 		 a 			 5
vc4.txt 		 100 		 31305 		 a 			 5
vc4.txt 		 100 		 7680 		 a 			 5
vc4.txt 		 100 		 19746 		 a 			 5
vc4.txt 		 100 		 5366 		 a 			 5
vc4.txt 		 100 		 17494 		 a 			 5
vc4.txt 		 100 		 9849 		 a 			 5
vc4.txt 		 100 		 2081 		 a 			 5
vc4.txt 		 100 		 32698 		 a 			 5
vc4.txt 		 100 		 14078 		 a 			 5
vc4.txt 		 100 		 4726 		 a 			 5
vc4.txt 		 100 		 9326 		 a 			 5
vc4.txt 		 100 		 24119 		 a 			 5
vc4.txt 		 100 		 7305 		 a 			 5
vc4.txt 		 100 		 13838 		 a 			 5
vc4.txt 		 100 		 32115 		 a 			 5
vc4.txt 		 100 		 12412 		 a 			 5
vc4.txt 		 100 		 28373 		 a 			 5
vc4.txt 		 100 		 5136 		 a 			 5
vc4.txt 		 100 		 32190 		 a 			 5
vc4.txt 		 100 		 2026 		 a 			 5
vc4.txt 		 100 		 25301 		 a 			 5
vc4.txt 		 100 		 19023 		 a 			 5
vc4.txt 		 100 		 11474 		 a 			 5
vc4.txt 		 100 		 23320 		 a 			 5
vc4.txt 		 100 		 16031 		 a 			 5
vc4.txt 		 100 		 29101 		 a 			 5
vc4.txt 		 100 		 14330 		 a 			 5
vc4.txt 		 100 		 16006 		 a 			 5
vc4.txt 		 100 		 158 		 a 			 5
vc4.txt 		 100 		 11433 		 a 			 5
vc4.txt 		 100 		 11987 		 a 			 5
vc4.txt 		 100 		 16753 		 a 			 5
